127.0.0.1 - - [10/Sep/2020:13:37:43 -0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Sep/2020:13:37:57 -0700] "POST /Project1/api/login HTTP/1.1" 500 1283
0:0:0:0:0:0:0:1 - - [10/Sep/2020:13:44:49 -0700] "POST /Project1/api/login HTTP/1.1" 500 1283
0:0:0:0:0:0:0:1 - - [10/Sep/2020:17:39:10 -0700] "POST /Project1/api/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Sep/2020:17:39:10 -0700] "GET /Project1/api/home HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [10/Sep/2020:17:39:23 -0700] "POST /Project1/api/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Sep/2020:17:39:23 -0700] "GET /Project1/LoginEMP.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2020:17:43:53 -0700] "POST /Project1/api/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Sep/2020:17:43:53 -0700] "GET /Project1/api/home HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2020:17:45:57 -0700] "POST /Project1/api/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Sep/2020:17:45:57 -0700] "GET /Project1/LoginEMP.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2020:17:48:05 -0700] "GET /Project1/LoginEMP.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2020:17:48:35 -0700] "POST /Project1/api/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Sep/2020:17:48:35 -0700] "GET /Project1/api/home HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2020:17:48:46 -0700] "POST /Project1/api/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Sep/2020:17:48:46 -0700] "GET /Project1/LoginEMP.html HTTP/1.1" 304 -
